address,size,name,namespace,source,recovery,organized_file
1020d910,31,MdgOcctTube::OcctShapeWire::`scalar_deleting_destructor',MdgOcctTube::OcctShapeWire,IMPORTED,pseudocode,src/geometry/MdgOcctTube_recovered.cpp
1020dbd0,30,GeometryOcct::SideFaceParams::`scalar_deleting_destructor',GeometryOcct::SideFaceParams,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1028f6a0,130,ModuleAutoHole::GenerateWorkParamsList::GenerateWorkParamsList,ModuleAutoHole::GenerateWorkParamsList,IMPORTED,pseudocode,src/features/ModuleAutoHole_recovered.cpp
1028f730,33,ModuleAutoSlotFrame::GenerateWorkParamsList::GenerateWorkParamsList,ModuleAutoSlotFrame::GenerateWorkParamsList,IMPORTED,pseudocode,src/features/ModuleAutoSlotFrame_recovered.cpp
102954f0,129,GeometryOcct::SideFaceParams::SideFaceParams,GeometryOcct::SideFaceParams,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
102955d0,400,ModuleAutoHole::WorkParams::WorkParams,ModuleAutoHole::WorkParams,IMPORTED,pseudocode,src/features/ModuleAutoHole_recovered.cpp
10295760,281,ModuleAutoSlotFrame::WorkParams::WorkParams,ModuleAutoSlotFrame::WorkParams,IMPORTED,pseudocode,src/features/ModuleAutoSlotFrame_recovered.cpp
10299400,179,ModuleAutoHole::GenerateWorkParamsList::~GenerateWorkParamsList,ModuleAutoHole::GenerateWorkParamsList,IMPORTED,pseudocode,src/features/ModuleAutoHole_recovered.cpp
102994c0,178,ModuleAutoSlotFrame::GenerateWorkParamsList::~GenerateWorkParamsList,ModuleAutoSlotFrame::GenerateWorkParamsList,IMPORTED,pseudocode,src/features/ModuleAutoSlotFrame_recovered.cpp
1029a270,105,ModuleAutoHole::WorkParams::~WorkParams,ModuleAutoHole::WorkParams,IMPORTED,pseudocode,src/features/ModuleAutoHole_recovered.cpp
1029a2e0,119,ModuleAutoSlotFrame::WorkParams::~WorkParams,ModuleAutoSlotFrame::WorkParams,IMPORTED,pseudocode,src/features/ModuleAutoSlotFrame_recovered.cpp
1029bf30,162,GeometryOcct::SideFaceParams::operator=,GeometryOcct::SideFaceParams,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
102aae30,30,ModuleAutoHole::GenerateWorkParamsList::`scalar_deleting_destructor',ModuleAutoHole::GenerateWorkParamsList,IMPORTED,pseudocode,src/features/ModuleAutoHole_recovered.cpp
102aaee0,31,MdgOcct::`scalar_deleting_destructor',MdgOcct,IMPORTED,pseudocode,src/geometry/MdgOcct_recovered.cpp
102aaf40,31,MdgOcctTube::OcctCoordTube::`scalar_deleting_destructor',MdgOcctTube::OcctCoordTube,IMPORTED,pseudocode,src/geometry/MdgOcctTube_recovered.cpp
102aaf60,31,MdgOcctTube::OcctLayerData::`scalar_deleting_destructor',MdgOcctTube::OcctLayerData,IMPORTED,pseudocode,src/geometry/MdgOcctTube_recovered.cpp
102aaf80,31,MdgOcct::OcctShape3DData::`scalar_deleting_destructor',MdgOcct::OcctShape3DData,IMPORTED,pseudocode,src/geometry/MdgOcct_recovered.cpp
102aafa0,31,MdgOcct::OcctShape::`scalar_deleting_destructor',MdgOcct::OcctShape,IMPORTED,pseudocode,src/geometry/MdgOcct_recovered.cpp
102bc260,106,GeometryOcct::clone,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1036e320,221,GeometryOcct::GeometryOcct,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1036e400,376,GeometryOcct::GeometryOcct,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10375a00,518,GeometryOcct::~GeometryOcct,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103772c0,124,GeometryOcct::operator=,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10379a30,30,GeometryOcct::`scalar_deleting_destructor',GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1037a020,370,GeometryOcct::addProgramParams,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1037a1a0,293,GeometryOcct::addProgramParams,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1037ee40,4453,GeometryOcct::calBoxBlank,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103805b0,1568,GeometryOcct::changeChildWire,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103828c0,7,GeometryOcct::childWireSize,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
103837f0,1839,GeometryOcct::clearData,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10385030,696,GeometryOcct::deleteChildWire,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10386ed0,389,GeometryOcct::disAllProgramParams,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10387080,306,GeometryOcct::enableProgramParams,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10387870,926,GeometryOcct::existChildWire,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10387c20,872,GeometryOcct::existChildWire,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
10389820,5704,GeometryOcct::geometryTransform,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038afc0,29,GeometryOcct::getAllProgramParams,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038afe0,7,GeometryOcct::getBlankParams,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038b320,4,GeometryOcct::getChildDims,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038b330,701,GeometryOcct::getChildShapes,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038b5f0,4,GeometryOcct::getChildTexts,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038b600,731,GeometryOcct::getChildWire,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038b8e0,475,GeometryOcct::getChildWire,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038bac0,4,GeometryOcct::getChildWires,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038bad0,4,GeometryOcct::getCircleFace3D,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
1038c4a0,4,GeometryOcct::getCurActiveLayerId,GeometryOcct,IMPORTED,pseudocode,src/geometry/GeometryOcct_recovered.cpp
